Plant,Valuation Class,Material,Material Description,Obj Type,Category,All Items,Proc Cat Name,Quantity,Price,,concatenate
2114,9009,80300000012,INSEE Super - Puttalam 50kg,CA,ZU,Receipts,,14,"21,008",,80300000012-CA-ZU-2114-
2114,9009,80300000012,INSEE Super - Puttalam 50kg,BV,ZU,Transfer plant:2140,Stock Transfer,14,"21,008",,80300000012-BV-ZU-2114-Stock Transfer
2114,9009,80300000012,INSEE Super - Puttalam 50kg,CA,KB,Cumulative Inventory,,21,"20,685",,80300000012-CA-KB-2114-
2114,9009,80300000012,INSEE Super - Puttalam 50kg,CA,VN,Consumption,,13,"20,685",,80300000012-CA-VN-2114-
2114,9009,80300000012,INSEE Super - Puttalam 50kg,BV,VN,Account: 95000020,Consumption,2,"20,685",,80300000012-BV-VN-2114-Consumption
2114,9009,80300000012,INSEE Super - Puttalam 50kg,BV,VN,Account: 22406605,Sales Order,11,"20,685",,80300000012-BV-VN-2114-Sales Order
2114,9009,80300000012,INSEE Super - Puttalam 50kg,CA,EB,Ending Inventory,,8,"20,685",,80300000012-CA-EB-2114-
2115,9009,80300000012,INSEE Super - Puttalam 50kg,CA,AB,Beginning Inventory,,7,"20,791",,80300000012-CA-AB-2115-
2115,9009,80300000012,INSEE Super - Puttalam 50kg,CA,ZU,Receipts,,41,"21,008",,80300000012-CA-ZU-2115-
2115,9009,80300000012,INSEE Super - Puttalam 50kg,BV,ZU,Transfer plant:2140,Stock Transfer,40.500,"21,008.49",,80300000012-BV-ZU-2115-Stock Transfer
2115,9009,80300000012,INSEE Super - Puttalam 50kg,CA,KB,Cumulative Inventory,,48,"20,975.15",,80300000012-CA-KB-2115-
2115,9009,80300000012,INSEE Super - Puttalam 50kg,CA,VN,Consumption,,34,"20,975.15",,80300000012-CA-VN-2115-
2115,9009,80300000012,INSEE Super - Puttalam 50kg,BV,VN,Account: 95000020,Consumption,0.500,"20,975.14",,80300000012-BV-VN-2115-Consumption
2115,9009,80300000012,INSEE Super - Puttalam 50kg,BV,VN,Account: 22406605,Sales Order,33.750,"20,975.15",,80300000012-BV-VN-2115-Sales Order
2115,9009,80300000012,INSEE Super - Puttalam 50kg,CA,EB,Ending Inventory,,13.600,"20,975.15",,80300000012-CA-EB-2115-
2140,9009,80300000012,INSEE Super - Puttalam 50kg,CA,AB,Beginning Inventory,,0.000,0.00,,80300000012-CA-AB-2140-
2140,9009,80300000012,INSEE Super - Puttalam 50kg,CA,ZU,Receipts,,55,"21,008.49",,80300000012-CA-ZU-2140-
2140,9009,80300000012,INSEE Super - Puttalam 50kg,BV,ZU,Rest(Production),Production,54.500,"21,008.49",,80300000012-BV-ZU-2140-Production
2140,9009,80300000012,INSEE Super - Puttalam 50kg,BV,ZU,1024072262/002140003755,Production,0.000,"21,837.54",,80300000012-BV-ZU-2140-Production
2140,9009,80300000012,INSEE Super - Puttalam 50kg,BV,ZU,1024072262/002140003755,Production,0.000,0.00,,80300000012-BV-ZU-2140-Production
2140,9009,80300000012,INSEE Super - Puttalam 50kg,BV,ZU,1024072262/002140003755,Production,0.000,0.00,,80300000012-BV-ZU-2140-Production
2140,9009,80300000012,INSEE Super - Puttalam 50kg,BV,ZU,1023896115/002140003755/0001,Production,5.500,"21,837.54",,80300000012-BV-ZU-2140-Production
2140,9009,80300000012,INSEE Super - Puttalam 50kg,BV,ZU,1023909680/002140003755/0001,Production,7.500,"21,837.54",,80300000012-BV-ZU-2140-Production
2140,9009,80300000012,INSEE Super - Puttalam 50kg,BV,ZU,1023941165/002140003755/0001,Production,15.000,"21,837.54",,80300000012-BV-ZU-2140-Production
2140,9009,80300000012,INSEE Super - Puttalam 50kg,BV,ZU,1024016057/002140003755/0001,Production,10.500,"21,837.54",,80300000012-BV-ZU-2140-Production
2140,9009,80300000012,INSEE Super - Puttalam 50kg,BV,ZU,1024053412/002140003755/0001,Production,16,"21,838",,80300000012-BV-ZU-2140-Production
2140,9009,80300000012,INSEE Super - Puttalam 50kg,BV,ZU,1023869240/002140003755/0001,Production,60,"21,838",,80300000012-BV-ZU-2140-Production
2140,9009,80300000012,INSEE Super - Puttalam 50kg,BV,ZU,1024065820/002140003755/0001,Production,60-,"21,838",,80300000012-BV-ZU-2140-Production
2140,9009,80300000012,INSEE Super - Puttalam 50kg,CA,KB,Cumulative Inventory,,55,"21,008",,80300000012-CA-KB-2140-
2140,9009,80300000012,INSEE Super - Puttalam 50kg,CA,VN,Consumption,,55,"21,008",,80300000012-CA-VN-2140-
2140,9009,80300000012,INSEE Super - Puttalam 50kg,VM,VN,80300000008 2114,Stock Transfer,14.000,"21,008.49",,80300000012-VM-VN-2140-Stock Transfer
2140,9009,80300000012,INSEE Super - Puttalam 50kg,BV,VN,Transfer plant:2140,Stock Transfer,14,"21,008",,80300000012-BV-VN-2140-Stock Transfer
2140,9009,80300000012,INSEE Super - Puttalam 50kg,VM,VN,80300000008 2115,Stock Transfer,40.500,"21,008.49",,80300000012-VM-VN-2140-Stock Transfer
2140,9009,80300000012,INSEE Super - Puttalam 50kg,BV,VN,Transfer plant:2140,Stock Transfer,41,"21,008",,80300000012-BV-VN-2140-Stock Transfer
2140,9009,80300000012,INSEE Super - Puttalam 50kg,BV,VN,1024072262/002140003755,Stock Transfer,0.000,0.00,,80300000012-BV-VN-2140-Stock Transfer
2140,9009,80300000012,INSEE Super - Puttalam 50kg,BV,VN,1024072262/002140003755,Stock Transfer,0,0,,80300000012-BV-VN-2140-Stock Transfer
2140,9009,80300000012,INSEE Super - Puttalam 50kg,BV,VN,1023889393/,Stock Transfer,5.500-,"21,838",,80300000012-BV-VN-2140-Stock Transfer
2140,9009,80300000012,INSEE Super - Puttalam 50kg,BV,VN,1023903476/,Stock Transfer,7.500-,"21,838",,80300000012-BV-VN-2140-Stock Transfer
2140,9009,80300000012,INSEE Super - Puttalam 50kg,BV,VN,1023935290/,Stock Transfer,15-,"21,838",,80300000012-BV-VN-2140-Stock Transfer
2140,9009,80300000012,INSEE Super - Puttalam 50kg,BV,VN,1024012759/,Stock Transfer,0.500-,"21,838",,80300000012-BV-VN-2140-Stock Transfer
2140,9009,80300000012,INSEE Super - Puttalam 50kg,BV,VN,1024012795/,Stock Transfer,10-,"21,838",,80300000012-BV-VN-2140-Stock Transfer
2140,9009,80300000012,INSEE Super - Puttalam 50kg,BV,VN,1024046360/,Stock Transfer,10-,"21,838",,80300000012-BV-VN-2140-Stock Transfer
2140,9009,80300000012,INSEE Super - Puttalam 50kg,BV,VN,1024046461/,Stock Transfer,6-,"21,838",,80300000012-BV-VN-2140-Stock Transfer
2140,9009,80300000012,INSEE Super - Puttalam 50kg,CA,EB,Ending Inventory,,0.5,"21,008",,80300000012-CA-EB-2140-
